元の城名,URL,城名,別名,築城年,城主,場所,Latitude,Longitude
渋谷城,https://gosenzo.net/yamajiro/2023/10/08/%e3%80%90%e6%9d%b1%e4%ba%ac%e9%83%bd%e3%80%91%e6%b8%8b%e8%b0%b7%e5%9f%8e%e3%80%90%e6%b8%8b%e8%b0%b7%e5%8c%ba%e3%80%91/,渋谷城,金王丸城,1092年,河崎基家、渋谷氏,東京都渋谷区,35.657571,139.706247
第三台場,https://gosenzo.net/yamajiro/2023/10/08/%e3%80%90%e6%9d%b1%e4%ba%ac%e9%83%bd%e3%80%91%e7%ac%ac%e4%b8%89%e5%8f%b0%e5%a0%b4%e3%80%90%e6%b8%af%e5%8c%ba%e3%80%91/,第三台場,無し,1854年,無し,東京都港区,35.633680,139.771967
江戸城,https://gosenzo.net/yamajiro/2023/10/08/%e3%80%90%e6%9d%b1%e4%ba%ac%e9%83%bd%e3%80%91%e6%b1%9f%e6%88%b8%e5%9f%8e%e3%80%90%e5%8d%83%e4%bb%a3%e7%94%b0%e5%8c%ba%e3%80%91/,江戸城,千代田城、江城,1457年,太田道灌　扇谷上杉氏　北条氏　徳川氏,東京都千代田区,35.688283,139.754346
小田原城,https://gosenzo.net/yamajiro/2021/02/23/%e3%80%90%e7%a5%9e%e5%a5%88%e5%b7%9d%e7%9c%8c%e3%80%91%e5%b0%8f%e7%94%b0%e5%8e%9f%e5%9f%8e%e3%80%90%e5%b0%8f%e7%94%b0%e5%8e%9f%e5%b8%82%e3%80%91/,小田原城,,14世紀末,土肥一族小早川氏が最初に築城、大森氏、北条氏,神奈川県小田原市城内,35.251027,139.153434
石垣山城,https://gosenzo.net/yamajiro/2021/02/23/%e3%80%90%e7%a5%9e%e5%a5%88%e5%b7%9d%e7%9c%8c%e3%80%91%e7%9f%b3%e5%9e%a3%e5%b1%b1%e5%9f%8e%e3%80%90%e5%b0%8f%e7%94%b0%e5%8e%9f%e5%b8%82%e6%97%a9%e5%b7%9d%e3%80%91/,石垣山城,石垣山一夜城、太閤一夜城,天正18年（1590）,豊臣秀吉が築城,神奈川県小田原市早川,35.235209,139.127121
松本城,https://gosenzo.net/yamajiro/2021/03/06/%e3%80%90%e9%95%b7%e9%87%8e%e7%9c%8c%e3%80%91%e6%9d%be%e6%9c%ac%e5%9f%8e%e3%80%90%e6%9d%be%e6%9c%ac%e5%b8%82%e4%b8%b8%e3%81%ae%e5%86%85%e3%80%91/,松本城,深志城、烏城,戦国時代深志城として築城（1504年）されたのがその前身と言われる、文禄慶長年間（1592～1615）に石川氏により大幅改修を実施,小笠原氏、石川氏、松平氏、堀田氏、水野氏、松平氏　（戦国時代は小笠原氏と石川氏）,長野県松本市丸の内,36.239031,137.969388
上田城,https://gosenzo.net/yamajiro/2021/03/06/%e3%80%90%e9%95%b7%e9%87%8e%e7%9c%8c%e3%80%91%e4%b8%8a%e7%94%b0%e5%9f%8e%e3%80%90%e4%b8%8a%e7%94%b0%e5%b8%82%e5%a4%a7%e6%89%8b%e7%94%ba%e3%80%91/,上田城,尼ヶ淵城,1583年,真田氏、仙石氏、松平氏,長野県上田市大手町,36.403802,138.244649
岡﨑城,https://gosenzo.net/yamajiro/2021/10/30/%e3%80%90%e6%84%9b%e7%9f%a5%e7%9c%8c%e3%80%91%e5%b2%a1%e5%b4%8e%e5%9f%8e%e3%80%90%e5%b2%a1%e5%b4%8e%e5%b8%82%e5%ba%b7%e7%94%9f%e7%94%ba%e3%80%91/,岡﨑城,龍城,康正年間(1452〜57)西郷稠頼によって築かれたとの伝承あり。,西郷氏、松平氏（徳川氏）、田中吉政、本多氏、水野氏、松平氏、本多氏,愛知県岡崎市康生町,34.956246,137.159105
吉田城,https://gosenzo.net/yamajiro/2021/10/30/%e3%80%90%e6%84%9b%e7%9f%a5%e7%9c%8c%e3%80%91%e5%90%89%e7%94%b0%e5%9f%8e%e3%80%90%e8%b1%8a%e6%a9%8b%e5%b8%82%e4%bb%8a%e6%a9%8b%e7%94%ba%e3%80%91/,吉田城,今橋城,永正2年（1505）牧野成時（古白）によって築かれる。,牧野氏、戸田氏、小原氏、酒井氏、池田氏、竹谷松平氏、深溝松平氏、沼津水野氏、山形水野氏、小笠原氏、久世氏、牧野氏、大河内松平氏、本庄松平氏、大河内松平氏,愛知県豊橋市今橋町（豊橋公園内）,34.770223,137.393384
犬山城,https://gosenzo.net/yamajiro/2021/10/30/%e3%80%90%e6%84%9b%e7%9f%a5%e7%9c%8c%e3%80%91%e7%8a%ac%e5%b1%b1%e5%9f%8e%e3%80%90%e7%8a%ac%e5%b1%b1%e5%b8%82%e5%a4%a7%e5%ad%97%e7%8a%ac%e5%b1%b1%e5%ad%97%e5%8c%97%e5%8f%a4%e5%88%b8%e3%80%91/,犬山城,白帝城,天文6年(1537)織田信康によって築かれる。,織田氏、豊臣氏、石川氏、平岩氏、成瀬氏,愛知県犬山市大字犬山字北古券,35.388318,136.939288
