城名,URL
渋谷城,https://gosenzo.net/yamajiro/2023/10/08/%e3%80%90%e6%9d%b1%e4%ba%ac%e9%83%bd%e3%80%91%e6%b8%8b%e8%b0%b7%e5%9f%8e%e3%80%90%e6%b8%8b%e8%b0%b7%e5%8c%ba%e3%80%91/
第三台場,https://gosenzo.net/yamajiro/2023/10/08/%e3%80%90%e6%9d%b1%e4%ba%ac%e9%83%bd%e3%80%91%e7%ac%ac%e4%b8%89%e5%8f%b0%e5%a0%b4%e3%80%90%e6%b8%af%e5%8c%ba%e3%80%91/
江戸城,https://gosenzo.net/yamajiro/2023/10/08/%e3%80%90%e6%9d%b1%e4%ba%ac%e9%83%bd%e3%80%91%e6%b1%9f%e6%88%b8%e5%9f%8e%e3%80%90%e5%8d%83%e4%bb%a3%e7%94%b0%e5%8c%ba%e3%80%91/
小田原城,https://gosenzo.net/yamajiro/2021/02/23/%e3%80%90%e7%a5%9e%e5%a5%88%e5%b7%9d%e7%9c%8c%e3%80%91%e5%b0%8f%e7%94%b0%e5%8e%9f%e5%9f%8e%e3%80%90%e5%b0%8f%e7%94%b0%e5%8e%9f%e5%b8%82%e3%80%91/
石垣山城,https://gosenzo.net/yamajiro/2021/02/23/%e3%80%90%e7%a5%9e%e5%a5%88%e5%b7%9d%e7%9c%8c%e3%80%91%e7%9f%b3%e5%9e%a3%e5%b1%b1%e5%9f%8e%e3%80%90%e5%b0%8f%e7%94%b0%e5%8e%9f%e5%b8%82%e6%97%a9%e5%b7%9d%e3%80%91/
松本城,https://gosenzo.net/yamajiro/2021/03/06/%e3%80%90%e9%95%b7%e9%87%8e%e7%9c%8c%e3%80%91%e6%9d%be%e6%9c%ac%e5%9f%8e%e3%80%90%e6%9d%be%e6%9c%ac%e5%b8%82%e4%b8%b8%e3%81%ae%e5%86%85%e3%80%91/
上田城,https://gosenzo.net/yamajiro/2021/03/06/%e3%80%90%e9%95%b7%e9%87%8e%e7%9c%8c%e3%80%91%e4%b8%8a%e7%94%b0%e5%9f%8e%e3%80%90%e4%b8%8a%e7%94%b0%e5%b8%82%e5%a4%a7%e6%89%8b%e7%94%ba%e3%80%91/
岡﨑城,https://gosenzo.net/yamajiro/2021/10/30/%e3%80%90%e6%84%9b%e7%9f%a5%e7%9c%8c%e3%80%91%e5%b2%a1%e5%b4%8e%e5%9f%8e%e3%80%90%e5%b2%a1%e5%b4%8e%e5%b8%82%e5%ba%b7%e7%94%9f%e7%94%ba%e3%80%91/
吉田城,https://gosenzo.net/yamajiro/2021/10/30/%e3%80%90%e6%84%9b%e7%9f%a5%e7%9c%8c%e3%80%91%e5%90%89%e7%94%b0%e5%9f%8e%e3%80%90%e8%b1%8a%e6%a9%8b%e5%b8%82%e4%bb%8a%e6%a9%8b%e7%94%ba%e3%80%91/
犬山城,https://gosenzo.net/yamajiro/2021/10/30/%e3%80%90%e6%84%9b%e7%9f%a5%e7%9c%8c%e3%80%91%e7%8a%ac%e5%b1%b1%e5%9f%8e%e3%80%90%e7%8a%ac%e5%b1%b1%e5%b8%82%e5%a4%a7%e5%ad%97%e7%8a%ac%e5%b1%b1%e5%ad%97%e5%8c%97%e5%8f%a4%e5%88%b8%e3%80%91/
清州城,https://gosenzo.net/yamajiro/2021/10/30/%e3%80%90%e6%84%9b%e7%9f%a5%e7%9c%8c%e3%80%91%e6%b8%85%e5%b7%9e%e5%9f%8e%e3%80%90%e6%b8%85%e9%a0%88%e5%b8%82%e6%b8%85%e6%b4%b2%e5%ad%97%e5%8f%a4%e5%9f%8e%e3%80%91/
小牧山城,https://gosenzo.net/yamajiro/2021/10/30/%e3%80%90%e6%84%9b%e7%9f%a5%e7%9c%8c%e3%80%91%e5%b0%8f%e7%89%a7%e5%b1%b1%e5%9f%8e%e3%80%90%e5%b0%8f%e7%89%a7%e5%b8%82%e5%a0%80%e3%81%ae%e5%86%85%e3%80%91/
田原城,https://gosenzo.net/yamajiro/2021/10/30/%e3%80%90%e6%84%9b%e7%9f%a5%e7%9c%8c%e3%80%91%e7%94%b0%e5%8e%9f%e5%9f%8e%e3%80%90%e7%94%b0%e5%8e%9f%e5%b8%82%e7%94%b0%e5%8e%9f%e7%94%ba%e5%b7%b4%e6%b1%9f%e3%80%91/
名古屋城,https://gosenzo.net/yamajiro/2021/10/30/%e3%80%90%e6%84%9b%e7%9f%a5%e7%9c%8c%e3%80%91%e5%90%8d%e5%8f%a4%e5%b1%8b%e5%9f%8e%e3%80%90%e5%90%8d%e5%8f%a4%e5%b1%8b%e5%b8%82%e4%b8%ad%e5%8c%ba%e6%9c%ac%e4%b8%b8%e3%80%91/
岐阜城,https://gosenzo.net/yamajiro/2021/10/30/%e3%80%90%e5%b2%90%e9%98%9c%e7%9c%8c%e3%80%91%e5%b2%90%e9%98%9c%e5%9f%8e%e3%80%90%e5%b2%90%e9%98%9c%e5%b8%82%e5%a4%a9%e4%b8%bb%e9%96%a3%e3%80%91/
大垣城,https://gosenzo.net/yamajiro/2021/10/31/%e3%80%90%e5%b2%90%e9%98%9c%e7%9c%8c%e3%80%91%e5%a4%a7%e5%9e%a3%e5%b8%82%e3%80%90%e5%a4%a7%e5%9e%a3%e5%b8%82%e9%83%ad%e7%94%ba%e3%80%91/
掛川城,https://gosenzo.net/yamajiro/2021/11/03/%e3%80%90%e9%9d%99%e5%b2%a1%e7%9c%8c%e3%80%91%e6%8e%9b%e5%b7%9d%e5%9f%8e%e3%80%90%e6%8e%9b%e5%b7%9d%e5%b8%82%e5%9f%8e%e4%b8%8b%e3%80%91/
高天神城,https://gosenzo.net/yamajiro/2021/11/03/%e3%80%90%e9%9d%99%e5%b2%a1%e7%9c%8c%e3%80%91%e9%ab%98%e5%a4%a9%e7%a5%9e%e5%9f%8e%e3%80%90%e6%8e%9b%e5%b7%9d%e5%b8%82%e4%b8%8a%e5%9c%9f%e6%96%b9%e5%b6%ba%e5%90%91%e3%80%91/
山中城,https://gosenzo.net/yamajiro/2021/11/03/%e3%80%90%e9%9d%99%e5%b2%a1%e7%9c%8c%e3%80%91%e5%b1%b1%e4%b8%ad%e5%9f%8e%e3%80%90%e4%b8%89%e5%b3%b6%e5%b8%82%e5%b1%b1%e4%b8%ad%e6%96%b0%e7%94%b0%e3%80%91/
駿府城,https://gosenzo.net/yamajiro/2021/11/03/%e3%80%90%e9%9d%99%e5%b2%a1%e7%9c%8c%e3%80%91%e9%a7%bf%e5%ba%9c%e5%9f%8e%e3%80%90%e9%9d%99%e5%b2%a1%e5%b8%82%e8%91%b5%e5%8c%ba%e5%9f%8e%e5%86%85%e7%94%ba%e3%80%91/
浜松城,https://gosenzo.net/yamajiro/2021/11/03/%e3%80%90%e9%9d%99%e5%b2%a1%e7%9c%8c%e3%80%91%e6%b5%9c%e6%9d%be%e5%9f%8e%e3%80%90%e6%b5%9c%e6%9d%be%e5%b8%82%e4%b8%ad%e5%8c%ba%e5%85%83%e5%9f%8e%e7%94%ba%e3%80%91/
引馬城,https://gosenzo.net/yamajiro/2021/11/03/%e3%80%90%e9%9d%99%e5%b2%a1%e7%9c%8c%e3%80%91%e5%bc%95%e9%96%93%e5%9f%8e%e3%80%90%e6%b5%9c%e6%9d%be%e5%b8%82%e4%b8%ad%e5%8c%ba%e5%85%83%e5%9f%8e%e7%94%ba%e3%80%91/
金沢城,https://gosenzo.net/yamajiro/2021/11/06/%e3%80%90%e7%9f%b3%e5%b7%9d%e7%9c%8c%e3%80%91%e9%87%91%e6%b2%a2%e5%9f%8e%e3%80%90%e9%87%91%e6%b2%a2%e5%b8%82%e4%b8%b8%e3%81%ae%e5%86%85%e3%80%91/
福知山城,https://gosenzo.net/yamajiro/2021/03/13/%e3%80%90%e4%ba%ac%e9%83%bd%e5%ba%9c%e3%80%91%e7%a6%8f%e7%9f%a5%e5%b1%b1%e5%9f%8e%e3%80%90%e7%a6%8f%e7%9f%a5%e5%b1%b1%e5%b8%82%e5%86%85%e8%a8%98%e3%80%91/
二条城,https://gosenzo.net/yamajiro/2021/03/13/%e3%80%90%e4%ba%ac%e9%83%bd%e5%ba%9c%e3%80%91%e4%ba%8c%e6%9d%a1%e5%9f%8e%e3%80%90%e4%ba%ac%e9%83%bd%e5%b8%82%e4%b8%ad%e4%ba%ac%e5%8c%ba%e4%ba%8c%e6%9d%a1%e5%9f%8e%e7%94%ba%e3%80%91/
出野城,https://gosenzo.net/yamajiro/2021/03/13/%e3%80%90%e4%ba%ac%e9%83%bd%e5%ba%9c%e3%80%91%e5%87%ba%e9%87%8e%e5%9f%8e%e3%80%90%e8%88%b9%e4%ba%95%e9%83%a1%e4%ba%ac%e4%b8%b9%e6%b3%a2%e7%94%ba%e5%87%ba%e9%87%8e%e3%80%91/
竹田城,https://gosenzo.net/yamajiro/2021/05/31/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e7%ab%b9%e7%94%b0%e5%9f%8e%e3%80%90%e6%9c%9d%e6%9d%a5%e5%b8%82%e5%92%8c%e7%94%b0%e5%b1%b1%e7%94%ba%e7%ab%b9%e7%94%b0%e3%80%91/
豊岡城,https://gosenzo.net/yamajiro/2021/08/21/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e8%b1%8a%e5%b2%a1%e5%9f%8e%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e4%ba%ac%e7%94%ba%e3%80%91/
芦屋城,https://gosenzo.net/yamajiro/2021/08/21/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e8%8a%a6%e5%b1%8b%e5%9f%8e%e3%80%90%e7%be%8e%e6%96%b9%e9%83%a1%e6%96%b0%e6%b8%a9%e6%b3%89%e7%94%ba%e8%8a%a6%e5%b1%8b%e5%ad%97%e5%9f%8e%e5%b1%b1%e3%80%91/
鶴城,https://gosenzo.net/yamajiro/2021/08/21/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e9%b6%b4%e5%9f%8e%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e5%b1%b1%e6%9c%ac%e5%ad%97%e9%b6%b4%e3%82%ac%e5%9f%8e%e3%80%91/
備後衆山砦,https://gosenzo.net/yamajiro/2021/08/22/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%82%99%e5%be%8c%e8%a1%86%e5%b1%b1%e7%a0%a6%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e6%97%a5%e6%92%ab%e5%ad%97%e5%ae%ae%e3%83%8e%e4%b8%8b%e3%80%91/
正法寺城,https://gosenzo.net/yamajiro/2021/08/22/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%ad%a3%e6%b3%95%e5%af%ba%e5%9f%8e%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e5%b1%b1%e7%8e%8b%e7%94%ba%e3%80%91/
妙楽寺城,https://gosenzo.net/yamajiro/2021/08/22/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%a6%99%e6%a5%bd%e5%af%ba%e5%9f%8e%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e5%a6%99%e6%a5%bd%e5%af%ba%e5%ad%97%e8%a6%8b%e6%89%8b%e5%b1%b1%e3%80%91/
